"","(Intercept)","age","sexM","raceWhite","marital_statusDivorced/Widowed","marital_statusSingle","edutot","emp_statusUnemployed/Retired","thous","onsetage","morethan3epi","chronicTRUE","baseline_hrsd","treatmentBUP","treatmentCIT+BUP","treatmentCIT+BUS","treatmentVEN","age:treatmentBUP","age:treatmentCIT+BUP","age:treatmentCIT+BUS","age:treatmentVEN","sexM:treatmentBUP","sexM:treatmentCIT+BUP","sexM:treatmentCIT+BUS","sexM:treatmentVEN","marital_statusDivorced/Widowed:treatmentBUP","marital_statusSingle:treatmentBUP","marital_statusDivorced/Widowed:treatmentCIT+BUP","marital_statusSingle:treatmentCIT+BUP","marital_statusDivorced/Widowed:treatmentCIT+BUS","marital_statusSingle:treatmentCIT+BUS","marital_statusDivorced/Widowed:treatmentVEN","marital_statusSingle:treatmentVEN","edutot:treatmentBUP","edutot:treatmentCIT+BUP","edutot:treatmentCIT+BUS","edutot:treatmentVEN","emp_statusUnemployed/Retired:treatmentBUP","emp_statusUnemployed/Retired:treatmentCIT+BUP","emp_statusUnemployed/Retired:treatmentCIT+BUS","emp_statusUnemployed/Retired:treatmentVEN","thous:treatmentBUP","thous:treatmentCIT+BUP","thous:treatmentCIT+BUS","thous:treatmentVEN","onsetage:treatmentBUP","onsetage:treatmentCIT+BUP","onsetage:treatmentCIT+BUS","onsetage:treatmentVEN","morethan3epi:treatmentBUP","morethan3epi:treatmentCIT+BUP","morethan3epi:treatmentCIT+BUS","morethan3epi:treatmentVEN","chronicTRUE:treatmentBUP","chronicTRUE:treatmentCIT+BUP","chronicTRUE:treatmentCIT+BUS","chronicTRUE:treatmentVEN","baseline_hrsd:treatmentBUP","baseline_hrsd:treatmentCIT+BUP","baseline_hrsd:treatmentCIT+BUS","baseline_hrsd:treatmentVEN"
"age:treatmentBUP",-0.0608045090372584,-0.0100543159749465,0.0325437814352814,-0.0037518205205139,0.00944907457975541,-0.118415858889569,-0.00588948690344493,0.0505091207719741,-0.0423865005934721,0.00351617670761594,0.0687191957539594,0.0498336891527176,-0.00019908228389684,0.165050342706598,0.0644029848677435,0.0644331530367995,0.064498583218234,0.0190346430152979,0.0100689396068639,0.0100719002458241,0.0100747842988413,-0.0705009408505035,-0.0320663314494434,-0.0326425129192463,-0.0330054412881184,-0.0622121582423058,0.171123222570966,-0.00985986123279101,0.117900212616268,-0.00937202091537286,0.118474140383602,-0.00998055810005674,0.118164594916052,0.000426510550029897,0.00590098108086668,0.00583880762413999,0.0059083630810623,-0.0545380768551729,-0.050751979755809,-0.0509592896578408,-0.0516406476864201,0.0629940406103352,0.0424770462829313,0.0425537416457728,0.0422865176075087,-0.00592540535628497,-0.00352892974629843,-0.00353183434172636,-0.00354706602757581,-0.149369250267982,-0.0686011487071694,-0.0689914274992707,-0.0686366538377125,-0.161845031890305,-0.0497754286233758,-0.0500009075519107,-0.0496633019628056,-0.00299204236602197,0.000134851775166917,0.000200858571925082,0.000138758448749303
"age:treatmentCIT+BUP",-0.0552663837024064,-0.0100838172771739,0.0319499138689126,-0.01060773725648,0.0106699719943088,-0.117562813746902,-0.00590537020708271,0.0509966258459503,-0.0418810025423404,0.00355948241009767,0.0690974955359594,0.0498358856671342,-0.000270397826524498,0.0645529629539254,0.0834623531018426,0.0655258569192013,0.0657108514224048,0.0100689396068639,0.0163870305655319,0.010133534294365,0.0101416885428085,-0.0320175898121914,-0.0371556310871023,-0.0322290630539857,-0.0332551912386543,-0.010967882710346,0.116526155306694,-0.0355366571428567,0.195381179336702,-0.0104521137513704,0.117727596356368,-0.0121726658221933,0.116852400709146,0.00579023408289986,0.00638419005683835,0.00576208177516676,0.00595873990626661,-0.051005648895193,-0.0635425336885314,-0.0522694141459786,-0.0541958567637006,0.0421292463222979,0.0553082726315093,0.0423538527577498,0.0415983149139158,-0.00358225618831616,-0.00494936753094388,-0.00360375213669927,-0.00364681755536222,-0.0682317541156042,-0.0834438666364576,-0.069867191957029,-0.0688641200438732,-0.0490917346675977,-0.0792107639158426,-0.0503086718341139,-0.049354140196482,0.00019269100510604,-0.000142470776677925,0.000275420027504644,9.9840788934449e-05
"age:treatmentCIT+BUS",-0.0544418509008639,-0.0100882095200185,0.0318614970746661,-0.0116284668159709,0.0108517428833282,-0.117435809813478,-0.00590773496122863,0.051069207071565,-0.0418057424680241,0.00356592989368301,0.0691538179483673,0.0498362126908249,-0.000281015499581893,0.0646220312776171,0.0655950381479812,0.06941884511541,0.065891337568559,0.0100719002458241,0.010133534294365,0.0147054368463475,0.0101516494484179,-0.0319356851358548,-0.03038167913395,-0.0361028649083381,-0.0332923747644775,-0.0111783200591952,0.116299398910757,-0.0121249431702688,0.115837605543025,-0.00492863799933604,0.17597419945018,-0.0124990334307486,0.116657037278352,0.00578151986304057,0.00594336024234084,0.00568695011889663,0.00596624015992775,-0.0510790983637568,-0.0518219290152302,-0.0609799110787124,-0.0545762839970386,0.0420778735066907,0.0420863815709471,0.0481583838260561,0.0414958532214355,-0.00359089507880072,-0.00360545691431505,-0.00397672427210611,-0.00366166886364632,-0.0682047705564117,-0.0687879405939427,-0.0774815344142347,-0.0688979858986315,-0.0490204557584126,-0.0496556388524902,-0.0764629248461476,-0.0493081112603525,0.000195831338964873,8.1938188912313e-05,-0.0017884955202342,9.40466103746662e-05
"age:treatmentVEN",-0.0536386471512562,-0.0100924881441259,0.031775367450066,-0.0126227920968871,0.0110288117147402,-0.117312091223567,-0.00591003854380697,0.0511399107627413,-0.0417324292247262,0.00357221059347033,0.0692086834100546,0.0498365312550517,-0.000291358514190722,0.0646893129387766,0.0657455195417469,0.0658470186736629,0.122774997586758,0.0100747842988413,0.0101416885428085,0.0101516494484179,0.0178025393553333,-0.031855899173403,-0.030169013448071,-0.032107544053049,-0.0736515373350217,-0.0113833138051531,0.116078508259562,-0.0124108806301087,0.115577227930448,-0.0107695689336725,0.11750817607844,-0.0710048253482557,0.170909730789428,0.00577303106301613,0.00594871006637218,0.00573953091883172,0.00183416717325965,-0.0511506478381341,-0.0519569963469389,-0.052654479016663,-0.0872036419473492,0.0420278296054092,0.0420370651760098,0.0422951024714109,0.0651670082514179,-0.00359931049807411,-0.00361511748494138,-0.00362488983519425,-0.00350041256826429,-0.0681784850091532,-0.0688115206670249,-0.0701245920214736,-0.102362476237404,-0.0489510206952854,-0.0496405169347197,-0.0503991282866122,-0.0589065935828023,0.00019889043852492,7.5258529252193e-05,0.000297334736763773,0.00251861141215866
"sexM:treatmentBUP",1.24584576810931,0.0324221456716448,-4.18758740338989,-0.103792339944122,0.0516117090855573,1.24667487782452,0.0301746104911275,0.877122593515824,0.262722248535353,-0.0512154183658251,0.118732435194755,0.809294992591712,-0.116699233093581,-2.60927730908974,-1.14629563647688,-1.14546104835065,-1.14365095333226,-0.0705009408505035,-0.0320175898121914,-0.0319356851358548,-0.031855899173403,8.00233823691569,4.20079583139583,4.1848560435898,4.17481580194408,0.00311480944324483,-1.70334931565029,-0.062975927523845,-1.2609399880548,-0.0494800559097693,-1.2450625478615,-0.0663149492624821,-1.25362597679433,0.0472783888658685,-0.0298566295099437,-0.0315766287798434,-0.0296524099665037,-0.947520797108061,-0.883841172421942,-0.88957630279607,-0.908425750348077,-0.130052784683344,-0.260217344868071,-0.258095603934928,-0.26548823054622,0.0485609592965085,0.0508626115833539,0.0507822573248258,0.0503608799409761,-0.141702036992345,-0.115466719486116,-0.12626359765267,-0.116448952127296,0.362838476915964,-0.807683242606949,-0.813921010504633,-0.804581311582505,0.0713791384017478,0.114922326453077,0.11674837326163,0.115030402729726
"sexM:treatmentCIT+BUP",1.38548092454318,0.0316783165413071,-4.20256084395272,-0.276653542614941,0.082394725208006,1.26818307504639,0.0297741378665383,0.889414270419302,0.275467590176972,-0.0501235329037063,0.128270671699816,0.809350374262524,-0.118497342805601,-1.14328365036599,-1.99003857076797,-1.11791023136301,-1.11308550923442,-0.0320663314494434,-0.0371556310871023,-0.03038167913395,-0.030169013448071,4.20079583139583,7.61426802362585,4.19528053439176,4.16851874810296,-0.090164342137793,-1.29521949412722,0.230441627789959,-1.47842580607506,-0.076712905113906,-1.26388548626118,-0.121585512168339,-1.28671089854569,-0.0327769287415368,-0.0572389481067151,-0.0335111508926735,-0.0283822372198197,-0.889649594737562,-0.916562982337243,-0.922609039830335,-0.97285134522979,-0.268993304521432,-0.200567521863912,-0.263135489177831,-0.282840183593092,0.0495295847062225,0.0953018232375707,0.048968962763176,0.0478458013999905,-0.105691828998611,-0.0554285674854303,-0.148344626821289,-0.122184156255093,-0.789942652777297,-1.05512585614642,-0.821680804855945,-0.796786281857868,0.11647072139606,0.117833685305219,0.118628323584941,0.114049154890843
"sexM:treatmentCIT+BUS",1.22501538724385,0.0325331080143632,-4.18535370753739,-0.0780053907226408,0.047019585107656,1.24346634530805,0.0302343518736662,0.875288955641855,0.260820934228587,-0.0513783027755845,0.117309547834153,0.809286730909442,-0.11643099613166,-1.15672530562922,-1.15019823870805,-1.88613493119039,-1.14821062052597,-0.0326425129192463,-0.0322290630539857,-0.0361028649083381,-0.032107544053049,4.1848560435898,4.19528053439176,6.36922078493218,4.17575517876859,-0.0492103107301991,-1.25108954945793,-0.0555603916836843,-1.25418732431106,-0.330531177738382,-1.7720943183264,-0.0580698417596146,-1.24869046099311,-0.0310810205020477,-0.0299953724779521,-0.0212375496560956,-0.0298418907731577,-0.875355307820899,-0.880338320295883,-0.553449573019253,-0.898814920861126,-0.258995440951194,-0.258938367659665,-0.263411643949457,-0.262899714874689,0.0512108328029402,0.0511131499624668,0.0366020699890475,0.0507360723012187,-0.110943204463579,-0.114855191087031,-0.367010269634809,-0.115593390466649,-0.803814518686235,-0.808075416207641,-0.978705030871013,-0.805744152246478,0.115859568802721,0.115095557535278,0.128875612551433,0.115176782529265
"sexM:treatmentVEN",1.12394046768398,0.0330715287920187,-4.17451518134474,0.0471202051601597,0.0247372963356351,1.22789763496606,0.0305242340161724,0.866391624296339,0.251595217624761,-0.0521686641578522,0.110405294549278,0.809246642882436,-0.115129434267558,-1.16519200974119,-1.16913477228069,-1.16951366309049,-2.8854375043046,-0.0330054412881184,-0.0332551912386543,-0.0332923747644775,-0.0736515373350217,4.17481580194408,4.16851874810296,4.17575517876859,8.81547365243659,-0.0234139590658991,-1.22329273599443,-0.019578107280014,-1.22142148344037,-0.0257050357182092,-1.22862960920119,1.35444308754838,-0.396308539296791,-0.030012792446527,-0.0306685927335736,-0.0298877382069617,-0.0168825164581275,-0.866351543370391,-0.863341487681138,-0.860737822323996,-0.799292908817174,-0.252697931385341,-0.252732407274521,-0.253695646643826,-0.0376133325588045,0.0522698266467019,0.0523288332799755,0.0523653129387766,0.0491671407555056,-0.114250969866875,-0.111887881744717,-0.106986256879422,-0.55867901609938,-0.812552206257593,-0.809978353815918,-0.807146498370339,-1.05887637305224,0.115474612629262,0.115936123908586,0.115107125349565,0.0271593011928009
"marital_statusDivorced/Widowed:treatmentBUP",2.22276278810363,0.00992845900058288,0.056227982257539,0.266673233148825,-6.48730762354083,-3.22392473337284,0.0889856144321594,0.17147705365559,-0.588513882760011,-0.0573455064438994,-0.17543023005737,-0.187789296342907,-0.0773788964481763,-5.1992387606164,-2.4785365328434,-2.4806808366917,-2.48533150639546,-0.0622121582423058,-0.010967882710346,-0.0111783200591952,-0.0113833138051531,0.00311480944324483,-0.090164342137793,-0.0492103107301991,-0.0234139590658991,12.0708097064091,5.24279997298509,6.5165056633459,3.26057602255643,6.48183077578265,3.21978218061439,6.52508459819865,3.24178416343497,0.0798026613485586,-0.0898026016624087,-0.0853834145955721,-0.0903273020974413,-0.575112549005538,-0.154215036439053,-0.13947978950058,-0.0910499812462586,1.02654953658418,0.582078044045515,0.57662666377169,0.595620508991451,-0.00248975604995934,0.0582519714625045,0.0584584253292395,0.0595410685126144,1.18077041518308,0.167039640086702,0.194780014859434,0.169563286381488,1.17950035851502,0.18364823372022,0.199674905185596,0.175678455066642,0.0941772980074848,0.0819442953888102,0.0772526408160355,0.081666615454663
"marital_statusSingle:treatmentBUP",3.2986028076246,-0.11764618450097,1.25865142909626,0.28735327437037,-3.24191569917298,-9.37000630260379,-0.0152875522681533,-1.34722591391226,-1.71716400668805,-0.108122521479503,-0.594607862835485,0.119312756992393,-0.00721637580184513,-5.21643631114208,-3.57421135738829,-3.5765219482368,-3.58153326921421,0.171123222570966,0.116526155306694,0.116299398910757,0.116078508259562,-1.70334931565029,-1.29521949412722,-1.25108954945793,-1.22329273599443,5.24279997298509,15.4633541883585,3.27337799572262,9.40949983494089,3.23601413148296,9.36554250214906,3.28262221191726,9.3892507001241,-0.0420057723888074,0.0144072091120036,0.0191690963802392,0.013841819079079,0.71181479192471,1.36582657026925,1.38170450974758,1.43388996463814,2.46378908462076,1.71022907997608,1.70435495472915,1.72482173931167,0.0888542497845041,0.109099281269462,0.109321745271238,0.110488345533455,0.494324964060687,0.585566597338,0.615458189490248,0.588285947973973,-0.012227251010757,-0.123774951753944,-0.106505440043092,-0.132362772755217,0.105865449575064,0.0121358134180908,0.00708032926700924,0.0118365998923765
"marital_statusDivorced/Widowed:treatmentCIT+BUP",2.13770400066224,0.0103815626852562,0.0653490569970721,0.371971674245954,-6.50605910484421,-3.23702645662409,0.0892295624229154,0.1639895758618,-0.59627771053268,-0.0580106287225907,-0.18124044900344,-0.187823032100332,-0.0762835775063209,-2.46334785369933,-4.31534125309901,-2.49746342315371,-2.50395045365034,-0.00985986123279101,-0.0355366571428567,-0.0121249431702688,-0.0124108806301087,-0.062975927523845,0.230441627789959,-0.0555603916836843,-0.019578107280014,6.5165056633459,3.27337799572262,11.3914447569685,5.0981476059074,6.4984196720967,3.23124817784065,6.55875267421933,3.26193785107807,-0.0851921908475283,-0.110629956523023,-0.084205000008599,-0.0911010281162548,-0.163673172970928,-0.177904854424673,-0.119357890189819,-0.0518051154060164,0.587572776368182,1.03148313710692,0.579696711018767,0.606190455154011,0.0588092156604093,0.0873854456819049,0.0595629941257163,0.0610731291804263,0.150882298362323,-0.0985220373089343,0.208230678821914,0.173056887286143,0.161728579862623,-0.375635833860253,0.204401785687423,0.1709301109291,0.079008450470694,0.120207791706954,0.0761074686471158,0.0822643427998853
