"","(Intercept)","age","sexM","raceWhite","marital_statusDivorced/Widowed","marital_statusSingle","edutot","emp_statusUnemployed/Retired","thous","onsetage","morethan3epi","chronicTRUE","baseline_hrsd","treatmentBUP","treatmentESCIT","age:treatmentBUP","age:treatmentESCIT","sexM:treatmentBUP","sexM:treatmentESCIT","marital_statusDivorced/Widowed:treatmentBUP","marital_statusSingle:treatmentBUP","marital_statusDivorced/Widowed:treatmentESCIT","marital_statusSingle:treatmentESCIT","edutot:treatmentBUP","edutot:treatmentESCIT","emp_statusUnemployed/Retired:treatmentBUP","emp_statusUnemployed/Retired:treatmentESCIT","thous:treatmentBUP","thous:treatmentESCIT","onsetage:treatmentBUP","onsetage:treatmentESCIT","morethan3epi:treatmentBUP","morethan3epi:treatmentESCIT","chronicTRUE:treatmentBUP","chronicTRUE:treatmentESCIT","baseline_hrsd:treatmentBUP","baseline_hrsd:treatmentESCIT"
"age:treatmentESCIT",0.00108645365914683,-0.00185205833820089,0.00535181737330397,-0.0103469020335434,0.00486739222539113,-0.0150317762341858,0.000719976307989288,0.00886388085010054,-0.00391958450681165,0.000259804543485474,0.0127178047806014,0.00212615432528871,-1.94312579525094e-05,0.00955809146927165,-0.00793819218361962,0.00178094390418052,0.0194623171723595,-0.00741850638620718,-0.0514754373150054,-0.00478562128563424,0.014183936424029,-0.0411131240180548,0.195633155423698,-0.000670966147941459,-0.0101911419277119,-0.00852487384057635,0.0110342207368413,0.00284591652926504,0.0482761995185652,-0.000314521677227914,0.00379830254078222,-0.0130994860547883,-0.00497551152151412,-0.00115995582223609,-0.285757497713234,3.05646558593126e-05,0.00431158225186972
"sexM:treatmentBUP",0.0944104164033452,0.00443213328834273,-0.847416088442002,0.315811952520997,-0.0216561210387522,0.10666188414471,0.00608615465274926,-0.0943571803225819,0.0162918338508388,0.00575912206791547,-0.104417345945925,0.141795441137345,0.00571860611330527,-8.29927998984858,-0.363684247671858,-0.0431285000984147,-0.00741850638620718,42.3426594621225,0.818874190877547,21.0477015061126,-42.8734568695046,0.0134691555073432,-0.139419318470134,5.02206277328943,-0.00527698707738823,-2.03633017944796,0.0583951487661587,-2.78644609776676,-0.0287190430364657,-0.421401665757532,-0.00519054457999077,3.16511074454508,0.0863201069765516,-21.6633528787527,-0.101553084314448,0.177749717182839,-0.00942740880415975
"sexM:treatmentESCIT",0.374657568427376,0.00491303895407099,-0.829358137745821,-0.0524879991588906,-0.0579567529639695,0.0839893499911912,0.00757419996896127,-0.0637142154580701,-8.6707923232232e-05,0.00416409949428388,-0.0680815275522841,0.213917561998351,0.00366049637204345,-0.320659678630418,-2.42767359286922,-0.00527378986685104,-0.0514754373150054,0.818874190877547,7.5234386140278,0.058371562440592,-0.088290290997317,-1.29840248041337,-0.0437989808613609,-0.00732558011820448,-0.0549067153046311,0.0654339378999248,0.355960808159025,-0.00535981932905053,0.0466877691250829,-0.00444166981055246,-0.0479767460920232,0.0661453261333924,0.989755095311901,-0.20901620833219,1.48748157063141,-0.00360401861879194,0.250770200664543
"marital_statusDivorced/Widowed:treatmentBUP",0.7834229308418,0.00606369145063279,-0.0461565623270225,-0.135157202747239,-1.4600834888292,-0.658846721324183,-0.0120540446503673,0.0209745857746563,-0.107915697876519,-0.00180973834780286,-0.0748570736852386,-0.282569219679706,0.016690140384825,-9.63008292994168,-0.668182524274642,-0.113599226193479,-0.00478562128563424,21.0477015061126,0.058371562440592,30.1601706491747,-17.4354346399503,1.46358724272888,0.672865833511854,3.86196790111575,0.0117077473517166,-1.7271738202452,-0.00558401061918142,-0.00620682915456954,0.113234137593815,-0.508367801887337,0.00156640575003564,8.11609155637646,0.082602100993489,-19.8144827157347,0.265346805085435,-0.407992714671302,-0.0151028939451754
"marital_statusSingle:treatmentBUP",0.58097787292507,-0.0144286061800702,0.0859518895701624,0.0258740722763179,-0.647976229891228,-1.28187414214258,0.00562355960668861,0.03943860482979,-0.111246933966428,0.00225194261318798,-0.0988520257676054,-0.354246303458421,0.00711247495207644,-2.40397567383766,-0.603039136017707,0.501980014949342,0.014183936424029,-42.8734568695046,-0.088290290997317,-17.4354346399503,78.0049484038936,0.647305482200429,1.27919036714118,-6.28349941018368,-0.00555726553465799,5.76554023953407,-0.0423849284133822,9.7443541932303,0.110228788496965,0.493519790399662,-0.00220535978153831,3.77096754641301,0.0973693419573307,7.28864116874546,0.357543308656281,-0.307800743956902,-0.00741633244738683
"marital_statusDivorced/Widowed:treatmentESCIT",0.800830524167211,0.00609356297723496,-0.0450348900468957,-0.158034208755362,-1.46233830795384,-0.660255029138731,-0.0119616144953157,0.0228779780724675,-0.10893305342289,-0.00190881341103221,-0.0726000689479072,-0.278089343468122,0.0165623005936402,-0.638250240573449,-4.91505512764918,-0.00717973478741172,-0.0411131240180548,0.0134691555073432,-1.29840248041337,1.46358724272888,0.647305482200429,16.8790009801576,8.14498233742058,0.0127101749667518,-0.509622096730528,-0.0177001282833231,1.68627172138661,0.0925343024974953,2.12607802815251,0.00107308703531943,-0.021871852401433,0.0667704304757063,-3.2768573078453,0.292846651059852,2.7360546040944,-0.016392253779313,0.0384590659967522
"marital_statusSingle:treatmentESCIT",0.760327924005966,-0.0141208404986333,0.0975084543965495,-0.209827217352531,-0.671207581728484,-1.29638390657444,0.0065758654608095,0.0590492138012937,-0.121728725779814,0.0012311744162949,-0.0755981556108556,-0.308090237403665,0.00579534439585273,-0.544464733551595,-5.12305979184652,0.012678694457652,0.195633155423698,-0.139419318470134,-0.0437989808613609,0.672865833511854,1.27919036714118,8.14498233742058,17.9399430217104,-0.00558197709968454,-0.260620456308647,-0.0521744123157031,-1.02043321397563,0.0999555647545359,2.65847584129101,-0.00234079581576912,-0.0622813004369496,0.0678579528507882,-0.0943961814119106,0.327684000121089,-5.07230534651878,-0.00556956764693889,0.767501447756226
"edutot:treatmentBUP",0.0285223022787582,0.000679325994151123,0.00740547833130545,-0.000884062127445581,-0.0126872569419368,0.00567367599470119,-0.0346074495374349,-0.0211193833887072,-0.0086254436202463,0.00205249910745684,-0.00218977862919061,0.0184993755735811,-0.000580059274429009,-0.971218001080648,-0.0277685157477648,-0.0353738124832325,-0.000670966147941459,5.02206277328943,-0.00732558011820448,3.86196790111575,-6.28349941018368,0.0127101749667518,-0.00558197709968454,1.11190248803943,0.0346051844097143,-0.253809840525112,0.0212200530114718,-0.25536189644784,0.00866023148974651,-0.075140248236331,-0.0020540907439341,0.613920349771348,0.00224043878773166,-3.43446998653866,-0.0186120272427241,-0.0263838591155762,0.000590441440053372
"edutot:treatmentESCIT",0.0214717101080917,0.000667227138918778,0.00695116775267091,0.00838180457991012,-0.0117739882453808,0.00624408247568659,-0.0346448864947074,-0.0218903137856778,-0.0082133844162003,0.00209262744984484,-0.00310393256378287,0.0166848926894507,-0.000528280363124015,-0.0300946290087632,0.127265686618602,-0.000609618853188679,-0.0101911419277119,-0.00527698707738823,-0.0549067153046311,0.0117077473517166,-0.00555726553465799,-0.509622096730528,-0.260620456308647,0.0346051844097143,0.171376653099656,0.0216156914401835,-0.164768513944007,0.00908313993744984,-0.129825507055023,-0.00204830226722349,-0.0192131019028634,0.00341312442059878,0.0334741609889817,-0.0174675894823391,-0.512657284444744,0.000519261435017559,0.0112153885660669
"emp_statusUnemployed/Retired:treatmentBUP",0.343977240314874,0.00791940114300765,-0.0712206695458951,0.0640293454806672,0.0160402606302344,0.0455330009861461,-0.0214516366290182,-0.884654706385328,0.0142743574772464,0.00758932513383064,-0.0547726806084945,-0.226785682730425,0.012150069298524,-5.05690533791018,-0.398571206862256,0.0629000591214861,-0.00852487384057635,-2.03633017944796,0.0654339378999248,-1.7271738202452,5.76554023953407,-0.0177001282833231,-0.0521744123157031,-0.253809840525112,0.0216156914401835,9.66943908237556,0.877363578470973,1.42864985450233,-0.0167939140170013,-0.0589324132909867,-0.00747404879892233,3.30417949114878,0.0511035529615964,0.856616691330182,0.234944625884417,-0.131552515376467,-0.0129020111009694
"emp_statusUnemployed/Retired:treatmentESCIT",0.422325731809771,0.00805384758854341,-0.0661722214659886,-0.0389360028675939,0.00589171949034577,0.039194457181274,-0.0210356248873852,-0.876087875091143,0.00969542052243094,0.00714340583851656,-0.0446143024133428,-0.206622554106064,0.011574685062166,-0.382269680413832,-2.24759684845474,-0.00832145539984464,0.0110342207368413,0.0583951487661587,0.355960808159025,-0.00558401061918142,-0.0423849284133822,1.68627172138661,-1.02043321397563,0.0212200530114718,-0.164768513944007,0.877363578470973,8.51434579786494,-0.0137356964733456,0.437918403387364,-0.00734930964135471,-0.0722853897726786,0.0431780132576051,-1.95490239638155,0.210258416083263,0.97012680846397,-0.0115327894289204,-0.0360010663359347
"thous:treatmentBUP",-0.0263153544780151,-0.00355774259710651,-0.00144337171448363,0.0752763211338575,-0.0944857316360499,-0.107763562919638,-0.00889026833215508,0.00516385676158884,-0.0885270088839766,0.00207059230602087,-0.0112224939757727,0.0231967041290082,0.00431805734478051,-1.67984269801228,-0.0378682308287056,0.13323548827191,0.00284591652926504,-2.78644609776676,-0.00535981932905053,-0.00620682915456954,9.7443541932303,0.0925343024974953,0.0999555647545359,-0.25536189644784,0.00908313993744984,1.42864985450233,-0.0137356964733456,3.25163705083797,0.0855648835369549,0.0801214648336086,-0.0019350672847896,2.29787113456969,0.00690887138669733,-0.827722745305137,-0.01360461443385,-0.0352703608589818,-0.00520208032158786
"thous:treatmentESCIT",0.111933307983123,-0.00332050712628462,0.00746479207060967,-0.106409649041065,-0.112393188585785,-0.118948145880397,-0.00815620101635176,0.0202803311869893,-0.0966067038138826,0.00128375206230281,0.00670232080315164,0.0587752521031114,0.00330277166971563,-0.00246263669960437,-0.805780450079473,0.00258915179486948,0.0482761995185652,-0.0287190430364657,0.0466877691250829,0.113234137593815,0.110228788496965,2.12607802815251,2.65847584129101,0.00866023148974651,-0.129825507055023,-0.0167939140170013,0.437918403387364,0.0855648835369549,1.31543680129271,-0.00184647421616015,-0.00744077821770914,-0.0106276088072423,0.315354011423201,-0.0488386698023882,-2.17240558103508,-0.00318827353683907,0.0770756921340422
"onsetage:treatmentBUP",-0.00613404597307145,0.000303027432856364,0.00433181496834664,0.00121552787906093,-0.00110459782764021,0.00221471580406847,0.00205141667039549,0.00721089546293139,0.00179864316004121,-0.00509934222731909,-0.00458144151296166,0.000372764139170172,-0.000258504516310607,0.173491715889669,0.00509763855911609,0.00516574421371012,-0.000314521677227914,-0.421401665757532,-0.00444166981055246,-0.508367801887337,0.493519790399662,0.00107308703531943,-0.00234079581576912,-0.075140248236331,-0.00204830226722349,-0.0589324132909867,-0.00734930964135471,0.0801214648336086,-0.00184647421616015,0.0514870645816046,0.00510153062387109,-0.205719070145819,0.00451178709258361,0.669112855989242,-0.000217875426925653,0.0204670726973962,0.000244229714382776
"onsetage:treatmentESCIT",-0.00276479958718689,0.000308809078323607,0.00454891506973984,-0.00321232543597458,-0.00154101893677939,0.00194213728470113,0.00206930656246921,0.00757929777452278,0.00160173360260309,-0.00511851824392729,-0.0041445973776448,0.00123984590359907,-0.000283247957082159,0.00606953205295735,0.0313350223830688,-0.000330887445793212,0.00379830254078222,-0.00519054457999077,-0.0479767460920232,0.00156640575003564,-0.00220535978153831,-0.021871852401433,-0.0622813004369496,-0.0020540907439341,-0.0192131019028634,-0.00747404879892233,-0.0722853897726786,-0.0019350672847896,-0.00744077821770914,0.00510153062387109,0.061826368726094,0.00402609964165289,0.110066882075152,-0.000939877466912147,0.645586876076226,0.000286704460020805,-0.0110030118261856
"morethan3epi:treatmentBUP",0.238622958784999,0.0114723113574889,-0.0816968503428116,0.172075357434194,-0.0712312338394535,-0.0857063818769146,-0.00297223610512201,-0.0627725200035774,0.00385643866799923,-0.00371630080825637,-1.35010917780632,0.172876891828154,0.00460130976981482,-8.92686052577368,-0.385341252355994,0.0372290007699566,-0.0130994860547883,3.16511074454508,0.0661453261333924,8.11609155637646,3.77096754641301,0.0667704304757063,0.0678579528507882,0.613920349771348,0.00341312442059878,3.30417949114878,0.0431780132576051,2.29787113456969,-0.0106276088072423,-0.205719070145819,0.00402609964165289,22.459389382524,1.3402485983084,-19.7324350374609,-0.15095017917837,-0.675221943794546,-0.00662211216056443
